date,price
2016년09월02일,1408.60
2016년09월03일,1408.51
2016년09월04일,1408.46
2016년09월05일,1408.52
2016년09월06일,1408.30
2016년09월07일,1408.19
2016년09월08일,1408.12
2016년09월09일,1408.26
2016년09월10일,1408.38
2016년09월11일,1408.33
2016년09월12일,1408.60
2016년09월13일,1408.78
2016년09월14일,1408.92
2016년09월15일,1409.06
2016년09월16일,1409.00
2016년09월17일,1408.91
2016년09월18일,1408.81
2016년09월19일,1408.84
2016년09월20일,1408.52
2016년09월21일,1408.21
2016년09월22일,1407.97
2016년09월23일,1407.83
2016년09월24일,1407.49
2016년09월25일,1407.49
2016년09월26일,1407.36
2016년09월27일,1407.21
2016년09월28일,1406.94
2016년09월29일,1406.86
2016년09월30일,1406.79
2016년10월01일,1406.78
2016년10월02일,1406.77
2016년10월03일,1406.78
2016년10월04일,1406.71
2016년10월05일,1406.62
2016년10월06일,1406.82
2016년10월07일,1407.26
2016년10월08일,1407.80
2016년10월09일,1408.11
2016년10월10일,1408.67
2016년10월11일,1411.26
2016년10월12일,1412.68
2016년10월13일,1413.89
2016년10월14일,1414.86
2016년10월15일,1415.71
2016년10월16일,1416.26
2016년10월17일,1417.09
2016년10월18일,1418.95
2016년10월19일,1419.89
2016년10월20일,1420.88
2016년10월21일,1421.90
2016년10월22일,1422.82
2016년10월23일,1423.33
2016년10월24일,1424.17
2016년10월25일,1425.40
2016년10월26일,1426.18
2016년10월27일,1426.75
2016년10월28일,1427.18
2016년10월29일,1427.45
2016년10월30일,1427.64
2016년10월31일,1428.00
2016년11월01일,1428.72
2016년11월02일,1428.98
2016년11월03일,1429.12
2016년11월04일,1429.26
2016년11월05일,1429.27
2016년11월06일,1429.37
2016년11월07일,1429.45
2016년11월08일,1428.99
2016년11월09일,1428.81
2016년11월10일,1428.61
2016년11월11일,1428.44
2016년11월12일,1428.20
2016년11월13일,1428.15
2016년11월14일,1428.08
2016년11월15일,1427.23
2016년11월16일,1426.72
2016년11월17일,1426.43
2016년11월18일,1426.06
2016년11월19일,1425.64
2016년11월20일,1425.33
2016년11월21일,1424.99
2016년11월22일,1424.75
2016년11월23일,1424.62
2016년11월24일,1424.49
2016년11월25일,1424.51
2016년11월26일,1424.41
2016년11월27일,1424.44
2016년11월28일,1424.49
2016년11월29일,1425.31
2016년11월30일,1425.53
2016년12월01일,1425.98
2016년12월02일,1428.26
2016년12월03일,1429.71
2016년12월04일,1430.46
2016년12월05일,1431.78
2016년12월06일,1433.59
2016년12월07일,1435.25
2016년12월08일,1437.46
2016년12월09일,1439.12
2016년12월10일,1440.56
2016년12월11일,1441.54
2016년12월12일,1443.66
2016년12월13일,1448.27
2016년12월14일,1452.27
2016년12월15일,1455.06
2016년12월16일,1457.55
2016년12월17일,1459.79
2016년12월18일,1460.66
2016년12월19일,1462.22
2016년12월20일,1464.25
2016년12월21일,1466.00
2016년12월22일,1467.29
2016년12월23일,1468.86
2016년12월24일,1470.58
2016년12월25일,1471.47
2016년12월26일,1472.98
2016년12월27일,1475.47
2016년12월28일,1477.59
2016년12월29일,1479.72
2016년12월30일,1481.74
